player_id,player_slug,first_name,last_name,birthdate,turned_pro,weight_kg,height_cm
a002,ricardo-acuna,Ricardo,Acuna,1958.01.13,0,68,175
a001,sadiq-abdullahi,Sadiq,Abdullahi,1960.02.02,0,0,0
a005,nelson-aerts,Nelson,Aerts,1963.04.25,0,75,188
a004,egan-adams,Egan,Adams,1959.06.15,0,73,178
a006,ronald-agenor,Ronald,Agenor,1964.11.13,1983,82,180
a007,juan-aguilera,Juan,Aguilera,1962.03.22,0,68,183
a012,marc-albert,Marc,Albert,,0,0,0
a013,marco-alciati,Marco,Alciati,,0,0,0
a009,richard-akel,Richard,Akel,1962.02.12,0,0,0
a014,john-alexander,John,Alexander,1951.07.04,0,82,191
a015,leighton-alfred,Leighton,Alfred,1962.08.27,0,73,180
a017,trevor-allan,Trevor,Allan,1955.08.17,0,77,178
a020,mehl-ampon,Mehl,Ampon,1956.11.30,0,0,0
a018,christer-allgardh,Christer,Allgardh,1967.02.20,1983,77,191
a021,anand-amritraj,Anand,Amritraj,1952.03.20,0,77,185
a022,vijay-amritraj,Vijay,Amritraj,1953.12.14,0,86,193
a024,juan-carlos-andrade,Juan Carlos,Andrade,1957.02.22,0,0,0
a023,andy-andrews,Andy,Andrews,1959.01.01,0,82,185
a025,matt-anger,Matt,Anger,1963.06.20,1984,77,188
a027,paul-annacone,Paul,Annacone,1963.03.20,1984,79,185
a028,alex-antonitsch,Alex,Antonitsch,1966.02.08,1988,85,188
a029,corrado-aprili,Corrado,Aprili,1964.11.13,0,80,191
a030,roberto-arguello,Roberto,Arguello,1963.05.12,0,66,173
a031,jimmy-arias,Jimmy,Arias,1964.08.16,1980,70,175
a032,marco-armellini,Marco,Armellini,1960.08.17,0,85,188
a034,jordi-arrese,Jordi,Arrese,1964.08.29,1982,64,175
a035,pablo-arraya,Pablo,Arraya,1961.10.21,1980,73,180
a036,edoardo-artaldi,Edoardo,Artaldi,,0,0,0
a039,juan-avendano,Juan,Avendano,1961.01.29,0,73,178
a040,roberto-azar,Roberto,Azar,1966.03.21,1984,77,185
a042,ricardo-acioly,Ricardo,Acioly,1964.02.04,1986,82,180
a043,aniceto-alvarez,Aniceto,Alvarez,,0,0,0
a044,victor-amaya,Victor,Amaya,1954.07.02,0,0,201
a051,juan-carlos-ayala,Juan Carlos,Ayala,1961.06.18,,,
a052,m-arenzon,M.,Arenzon,,0,0,0
a053,john-austin,John,Austin,1957.07.31,0,88,193
a056,terry-addison,Terry,Addison,1946.01.11,0,77,180
a057,elio-lito-alvarez,Elio Lito,Alvarez,1947.12.05,0,0,0
a058,george-amaya,George,Amaya,1950.02.12,1975,73,173
a059,ashok-amritraj,Ashok,Amritraj,1957.02.22,0,0,0
a060,mal-anderson,Mal,Anderson,1935.03.03,0,0,0
a061,jorge-andrew,Jorge,Andrew,1951.11.02,,88,180
a063,arthur-ashe,Arthur,Ashe,1943.07.10,1969,73,185
a062,john-andrews,John,Andrews,1952.02.05,0,0,0
a064,guillermo-aubone,Guillermo,Aubone,1954.06.08,0,0,0
a065,jeff-austin,Jeff,Austin,1951.07.05,0,0,0
a066,pieter-aldrich,Pieter,Aldrich,1965.09.07,1987,80,180
a068,tim-anderson,Tim,Anderson,,0,0,0
a080,orlando-agudelo,Orlando,Agudelo,,0,0,0
a073,luis-ayala,Luis,Ayala,1932.09.18,,,
a086,birger-andersson,Birger,Andersson,1951.03.26,0,0,0
a085,rich-andrews,Rich,Andrews,,0,0,0
a093,gabriel-auroux,Gabriel,Auroux,,0,0,0
a092,andre-agassi,Andre,Agassi,1970.04.29,1986,80,180
a0ab,adrian-andreev,Adrian,Andreev,2001.05.12,,,
a0cy,luis-alberto-ayala,Luis Alberto,Ayala,1959.10.21,,,
a102,kehinde-ajayi,Kehinde,Ajayi,,0,0,0
a105,steven-alger,Steven,Alger,,0,84,188
a111,haim-arlozorov,Haim,Arlozorov,,0,0,0
a113,paul-avis,Paul,Avis,1958.04.14,0,0,0
a118,unknown-unknown,Unknown,Unknown,,,,
a119,michael-appleton,Michael,Appleton,1969.01.01,0,0,0
a121,william-alvarez,William,Alvarez,1934.12.15,0,83,178
a120,jose-luis-arilla,Jose Luis,Arilla,,0,0,0
a122,mohammad-hossein-akbari,Mohammad Hossein,Akbari,,0,0,0
a127,bob-alloo,Bob,Alloo,1949.05.07,0,0,0
a124,jose-ayala,Jose,Ayala,1970.12.22,,76,180
a134,malcolm-allen,Malcolm,Allen,1967.07.13,0,70,178
a136,tino-anda,Tino,Anda,1968.04.16,0,66,180
a145,taghi-akbari,Taghi,Akbari,,0,0,0
a141,jose-francisco-altur,Jose Francisco,Altur,1968.03.24,1985,81,191
a138,eric-amend,Eric,Amend,1965.11.17,0,70,180
a147,john-antonas,John,Antonas,,0,0,0
a148,bengt-aberg,Bengt,Aberg,,0,0,0
a149,pablo-albano,Pablo,Albano,1967.04.11,1986,79,178
a158,jose-luis-aparisi,Jose-Luis,Aparisi,1969.03.11,0,66,178
a162,adam-anderson,Adam,Anderson,1969.12.21,0,73,180
a163,johan-anderson,Johan,Anderson,1971.09.29,0,78,183
a169,ian-aler,Ian,Aler,1965.11.11,0,0,0
a165,zeeshan-ali,Zeeshan,Ali,1970.01.01,0,66,180
a172,alejandro-aramburu,Alejandro,Aramburu,1969.02.14,0,64,175
a173,kim-andersson,Kim,Andersson,,0,0,0
a176,jan-apell,Jan,Apell,1969.11.04,1988,73,183
a177,david-adams,David,Adams,1970.01.05,1989,79,188
a181,massimo-ardinghi,Massimo,Ardinghi,1971.03.06,1988,71,175
a182,johan-alven,Johan,Alven,1972.01.13,0,0,0
a188,john-arbanas,John,Arbanas,1970.02.07,0,0,0
a183,carsten-arriens,Carsten,Arriens,1969.04.11,1991,81,193
a190,emilio-benfele-alvarez,Emilio,Benfele Alvarez,1972.11.15,1989,85,183
a199,chuck-adams,Chuck,Adams,1971.04.23,1990,81,185
